종목코드,종목명,상장주식수,거래량,거래량(%),외국인순매수,외국인매수(%),거래대금,지분율,시가,고가,종가,등락률,PER,PBR,기관전체순매수,금융투자순매수,보험순매수,투신순매수,사모순매수,은행순매수,개인순매수,외국인기관순매수,외국인기관순매수금액
454910,두산로보틱스,64819980.0,1783069.0,2.750801527553696,272905,15.305352737330974,159560388700.0,1.53,92700.0,94000.0,89400.0,-4.18,0.0,101.59,-202064.0,-13233.0,-20023.0,-6316.0,-57928.0,-3000.0,-78643,70841.0,6333185400.0
307950,현대오토에버,27423982.0,149212.0,0.544093122581542,50695,33.97514945178672,26169103100.0,3.11,180000.0,180900.0,174800.0,-3.0,42.08,3.24,-46538.0,-152.0,-2093.0,-24215.0,-267.0,0.0,-3379,4157.0,726643600.0
017670,SK텔레콤,218833144.0,456078.0,0.208413584735592,173470,38.03516065234456,22543991050.0,41.2,49350.0,49800.0,49400.0,0.61,12.0,0.95,10698.0,7908.0,24590.0,873.0,2107.0,1508.0,-184298,184168.0,9097899200.0
128940,한미약품,12562158.0,92739.0,0.7382409933070416,22567,24.333883263783306,30566242000.0,16.16,335000.0,341000.0,330500.0,-3.08,50.67,4.8,-2993.0,25.0,-2480.0,977.0,0.0,71.0,-19199,19574.0,6469207000.0
450080,에코프로머티,68985218.0,961362.0,1.3935768094550343,29384,3.0564969283162844,216618389500.0,1.11,222500.0,230000.0,226500.0,1.34,770.41,41.73,123522.0,5953.0,1536.0,20120.0,35644.0,,-137527,152906.0,34633209000.0
047810,한국항공우주,97475107.0,606154.0,0.6218551778558191,112066,18.488040992882997,32075433400.0,28.31,53900.0,54000.0,52800.0,-2.04,43.46,3.6,30082.0,14743.0,3169.0,2031.0,1385.0,,-142124,142148.0,7505414400.0
352820,하이브,41652097.0,274411.0,0.6588167697775217,22614,8.240923286602943,61594806500.0,21.1,230000.0,232500.0,223500.0,-2.19,176.68,3.34,-25805.0,1672.0,2546.0,1185.0,-17922.0,,4427,-3191.0,-713188500.0
141080,레고켐바이오,28120310.0,1432448.0,5.09399789689374,98558,6.88038937539094,73031866700.0,11.1,52800.0,53200.0,51000.0,-2.3,0.0,5.92,31798.0,12969.0,6086.0,-19116.0,-651.0,,-140632,130356.0,6648156000.0
068760,셀트리온제약,39610243.0,557251.0,1.4068356005793754,44493,7.984373289594815,55802121700.0,8.31,103200.0,104100.0,99600.0,-4.96,158.6,11.54,-7525.0,2526.0,,-1906.0,-9383.0,,-36992,36968.0,3682012800.0
005880,대한해운,319177460.0,215298981.0,67.4543186727534,1391918,0.6465046855005784,626152076330.0,5.64,2575.0,3100.0,2810.0,17.82,5.54,0.57,-493876.0,-256397.0,1851.0,-240609.0,-37304.0,,-879236,898042.0,2523498020.0
047050,포스코인터내셔널,175922788.0,663251.0,0.3770125562130132,80297,12.106578052652766,33564471300.0,6.31,51600.0,51700.0,50500.0,-2.13,10.56,1.56,-4910.0,4710.0,-1307.0,-2526.0,259.0,,-75375,75387.0,3807043500.0
185750,종근당,12568464.0,96132.0,0.7648667331187009,36473,37.94054009070861,10421205200.0,11.64,111700.0,112900.0,107200.0,-4.03,16.95,2.19,-20207.0,-2963.0,126.0,-1033.0,308.0,,-16244,16266.0,1743715200.0
014680,한솔케미칼,11335195.0,54767.0,0.48315886934455027,17922,32.72408567202877,11611907500.0,36.16,216000.0,218000.0,211500.0,-1.17,15.0,3.01,-10580.0,537.0,-153.0,-1188.0,-5275.0,246.0,-6553,7342.0,1552833000.0
112040,위메이드,33897976.0,564726.0,1.665957873119032,65564,11.60987806476061,30333417100.0,7.15,56300.0,56400.0,53200.0,-5.84,0.0,4.71,9559.0,22243.0,-2111.0,-887.0,-9106.0,,-74991,75123.0,3996543600.0
298040,효성중공업,9324548.0,73239.0,0.7854428976074764,20064,27.395240240855284,12477495400.0,10.93,171100.0,175400.0,169000.0,-2.31,154.06,1.61,-18205.0,608.0,-217.0,-24297.0,6990.0,,-2192,1859.0,314171000.0
022100,포스코DX,152034729.0,1421308.0,0.9348574561539819,57803,4.066887683739203,83722731600.0,5.81,59400.0,60000.0,58800.0,-0.68,196.0,21.66,36720.0,-8496.0,4222.0,124.0,-2867.0,,-89058,94523.0,5557952400.0
086900,메디톡스,7298468.0,65898.0,0.9029018144629805,14659,22.244984673282953,14650998500.0,8.16,228000.0,228000.0,221000.0,-2.64,40.05,3.26,8828.0,6636.0,8.0,-154.0,2355.0,,-21704,23487.0,5190627000.0
028670,팬오션,534569512.0,22132099.0,4.140172326176357,898567,4.060017081976725,81598145620.0,12.94,3510.0,3845.0,3620.0,3.13,2.86,0.43,-500321.0,-44759.0,-66970.0,75424.0,14613.0,,-403777,398246.0,1441650520.0
003230,삼양식품,7533015.0,55644.0,0.7386683817833894,15575,27.99043922076055,11077804800.0,11.6,203000.0,204500.0,199700.0,-1.63,18.72,3.29,-3956.0,-676.0,186.0,1261.0,602.0,,-9674,11619.0,2320314300.0
180640,한진칼,66762279.0,165056.0,0.24722942726385955,35734,21.64962194649089,12718278700.0,19.34,79500.0,81400.0,76100.0,-5.11,7.5,2.05,-18133.0,1298.0,-362.0,3540.0,-425.0,,-10875,17601.0,1339436100.0
241560,두산밥캣,100249166.0,395731.0,0.3947474236344271,61020,15.419565310779292,17264849057.0,40.1,45150.0,45600.0,43950.0,-3.09,6.84,0.88,-71369.0,-10882.0,-2857.0,-2306.0,-8317.0,-3000.0,10141,-10349.0,-454838550.0
